id,title,price,date,city,description
10056964,"Продаётся без посредников 4-к квартира, 84 м2, 2/9 эт. Севастополь ул.Косарева 5",12568000,"Сегодня, 18:17",Севастополь,Тип объявления: Продам; Вид объекта: Вторичка; Количество комнат: 4; Тип дома: Панельный; Площадь: 84; Этаж: 2; Этажей в доме: 9;
5599162,Беларусь. Дом на берегу озера.,2800000,"Сегодня, 18:00",Симферополь,"Тип объявления: Продам; Страна: Белоруссия; Вид объекта: Дом, вилла;"
9772659,Продам земельный участок,3200000,"Сегодня, 15:40",Севастополь,Тип объявления: Продам; Категория земель: Земли С/Х назначения; Вид права: Собственность; Площадь: 6;
10132208,Сдаются в аренду места для бровиста/визажиста,11000,"Сегодня, 15:31",Севастополь,Тип объявления: Сдам; Вид объекта: Салон красоты; Готовый бизнес: нет;
9736756,"Продам участок под базу отдыха, жилье",2500000,"Сегодня, 15:22",Саки,Тип объявления: Продам; Вид права: Собственность; Площадь: 12; Город на расстоянии: 20;
10122523,Продам участок в Крыму 6 соток ижс,2800000,"Сегодня, 14:28",Симферополь,Тип объявления: Продам; Категория земель: ИЖС; Вид права: Собственность; Площадь: 6;
3694495,"Помещение 636 м.кв в бизнес центре,Донецк",50000000,"Сегодня, 14:25",Симферополь,Тип объявления: Продам; Вид объекта: Помещение; Готовый бизнес: нет;
9066561,"Консервный завод 2335 м.кв,Белогорск,Крым",20000000,"Сегодня, 14:23",Феодосия,Тип объявления: Продам; Вид объекта: Производство; Готовый бизнес: нет;
10014677,"1-к квартира, 34 м2, 1/9 эт.",4500000,"Сегодня, 14:22",Симферополь,Тип объявления: Продам; Вид объекта: Вторичка; Количество комнат: 1; Тип дома: Панельный; Площадь: 34; Этаж: 1; Этажей в доме: 9;
9893195,"Участок 5 гектар,Тельманово,Донецкая область",7500000,"Сегодня, 14:18",Симферополь,Тип объявления: Продам; Категория земель: Земли С/Х назначения; Вид права: Собственность; Площадь: 5;
10132071,"Дом из сруба 96 м2 в СТ ""Пищевик""",5500000,"Сегодня, 14:12",Севастополь,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 96;
2893221,Продам участок в Крыму 337 соток,2399000,"Сегодня, 14:07",Саки,Тип объявления: Продам; Категория земель: Земли С/Х назначения; Вид права: Собственность; Площадь: 33781; Город на расстоянии: 25;
3074143,Продам участок в Крыму 160 соток,1199000,"Сегодня, 14:06",Саки,Тип объявления: Продам; Категория земель: Земли С/Х назначения; Вид права: Собственность; Площадь: 160; Город на расстоянии: 40;
9597550,Сдаю в аренду производственную базу 3150 м. кв.,100000,"Сегодня, 13:50",Щелкино,Тип объявления: Сдам; Вид объекта: Производство; Готовый бизнес: нет;
10012517,"1-к квартира, 22 м2, 5/5 эт. в Бахчисарае",3200000,"Сегодня, 13:37",Бахчисарай,Тип объявления: Продам; Вид объекта: Вторичка; Количество комнат: 1; Тип дома: Блочный; Площадь: 22; Этаж: 5; Этажей в доме: 5;
9751714,Дом с ремонтом в Бахчисарайском районе,8250000,"Сегодня, 13:37",Бахчисарай,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 68; Город на расстоянии: 5;
7715609,Дом в Бахчисарайском районе,9000000,"Сегодня, 13:37",Симферополь,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 158; Город на расстоянии: 15;
9989151,"3-к квартира, 44 м2, 2/2 эт.",4200000,"Сегодня, 13:37",Бахчисарай,Тип объявления: Продам; Вид объекта: Вторичка; Количество комнат: 3; Тип дома: Блочный; Площадь: 44; Этаж: 2; Этажей в доме: 2;
9989275,Дом 53 м2 в Бахчисарайском р-не,5300000,"Сегодня, 13:37",Бахчисарай,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 53; Город на расстоянии: 8;
9990607,"2-к квартира, 51 м2, 5/5 эт. в Бахчисарае",5500000,"Сегодня, 13:37",Бахчисарай,Тип объявления: Продам; Вид объекта: Вторичка; Количество комнат: 2; Тип дома: Блочный; Площадь: 51; Этаж: 5; Этажей в доме: 5;
9990826,Дом 110 м2 в Бахчисарайском районе,2750000,"Сегодня, 13:36",Бахчисарай,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 110; Город на расстоянии: 8;
9990054,"1-к, Дмитрия Ульянова-2, Стрелецкая бухта, Гагаринский район.",25000,"Сегодня, 13:35",Севастополь,Тип объявления: Сдам; Срок аренды: На длительный срок; Количество комнат: 1; Тип дома: Блочный; Площадь: 36; Этаж: 3; Этажей в доме: 5;
8652548,"1-к квартира, Дмитрия Ульянова-2, 36 м2, 3/5 эт.",25000,"Сегодня, 13:35",Севастополь,Тип объявления: Сдам; Срок аренды: На длительный срок; Количество комнат: 1; Тип дома: Блочный; Площадь: 36; Этаж: 3; Этажей в доме: 5;
9751735,Участок в курортном пригороде Евпатории,3600000,"Сегодня, 13:26",Евпатория,Тип объявления: Продам; Категория земель: ИЖС; Вид права: Собственность; Площадь: 654; Город на расстоянии: 10;
9595654,Трехкомнатный домик в курортном пригороде Евпатории,3900000,"Сегодня, 13:26",Евпатория,Тип объявления: Продам; Вид объекта: Дома; Площадь дома: 93; Город на расстоянии: 11;
